ACTIVE_INGREDIENTS,PRODUCT_NAME,RANKING,PROMOTION_FROM,PROMOTION_TO,PROMOTION_PRICE,REGULAR_PRICE,,NOTES:
ALPRAZOLAM,AZOR,,,,,200.71,,
ALPRAZOLAM,MYLAN ALPRAZOLAM,,,,,200.71,,
ALPRAZOLAM,XANOR,,,,,200.71,,
ALPRAZOLAM,ZOPAX,,,,,200.71,,
AMANTADINE HCL *,SYMADIN,,,,,282.07,,
AMANTADINE HCL *,SYMMETREL,,,,,282.07,,
AMETHOCAINE,ADCO-AMETHOCAINE,,,,,25.03,,
AMETHOCAINE,ANETHAINE,,,,,25.03,,
AMILORIDE/HYDROCHLOROTHIAZIDE,ADCO-RETIC,,,,,39.7,,
AMILORIDE/HYDROCHLOROTHIAZIDE,AMILORETIC,,,,,39.7,,
AMILORIDE/HYDROCHLOROTHIAZIDE,DEZRETIC,,,,,39.7,,
AMILORIDE/HYDROCHLOROTHIAZIDE,SPEC-CO-AMILORIDE,,,,,39.7,,
AMIODARONE HCL,ARYCOR,,,,,193.97,,
AMIODARONE HCL,CORDARONE X,,,,,193.97,,
AMIODARONE HCL,HEXARONE,,,,,193.97,,
AMIODARONE HCL,ARYCOR,,,,,361.23,,
AMIODARONE HCL,BIO-AMIODARONE,,,,,361.23,,
AMIODARONE HCL,CORDARONE X,,,,,361.23,,
AMIODARONE HCL,HEXARONE,,,,,361.23,,
AMIODARONE HCL*,ADCORONE,,,,,587.12,,
AMIODARONE HCL*,AMIOTACH,,,,,587.12,,
AMIODARONE HCL*,CORDARONE X,,,,,587.12,,
AMITRIPTYLINE HCL,AMITRIPTYLINE AUSTELL,,,,,106.02,,
AMITRIPTYLINE HCL,TREPILINE,,,,,106.02,,
AMITRIPTYLINE HCL,GULF AMITRIPTYLINE,,,,,108.23,,
AMITRIPTYLINE HCL,SANDOZ AMITRIPTYLINE,,,,,108.23,,
AMITRIPTYLINE HCL,TREPILINE,,,,,108.23,,
AMLODIPINE BESYLATE,ALMADIN,,,,,52.17,,
AMLODIPINE MALEATE,AMLATE,,,,,52.17,,
AMLODIPINE MALEATE,AMLOC,,,,,52.17,,
AMLODIPINE BESYLATE,AMLODAC,,,,,52.17,,
AMLODIPINE BESYLATE,AMLODIPINE 5 OETHMAAN,,,,,52.17,,
AMLODIPINE BESYLATE,AMLODIPINE UNICORN,,,,,52.17,,
AMLODIPINE BESYLATE,AMLOSIN,,,,,52.17,,
AMLODIPINE BESYLATE,AMLOSYN,,,,,52.17,,
AMLODIPINE BESYLATE,AMTAS,,,,,52.17,,
AMLODIPINE BESYLATE,APRATE,,,,,52.17,,
AMLODIPINE BESYLATE,AUSTELL-AMLODIPINE,,,,,52.17,,
AMLODIPINE BESYLATE,CALBLOC,,,,,52.17,,
AMLODIPINE BESYLATE,CIPLAVASC,,,,,52.17,,
AMLODIPINE BESYLATE,GULF AMLODIPINE,,,,,52.17,,
AMLODIPINE BESYLATE,INDO AMLODIPINE,,,,,52.17,,
AMLODIPINE BESYLATE,KEYSAL,,,,,52.17,,
AMLODIPINE BESYLATE,KLODIP,,,,,52.17,,
AMLODIPINE BESYLATE,LOMANOR,,,,,52.17,,
AMLODIPINE BESYLATE,NORCARD,,,,,52.17,,
AMLODIPINE BESYLATE,NORVASC,,,,,52.17,,
AMLODIPINE BESYLATE,PD AMLODIPINE,,,,,52.17,,
AMLODIPINE BESYLATE,PENDINE,,,,,52.17,,
AMLODIPINE BESYLATE,ALMADIN,,,,,75.05,,
AMLODIPINE MALEATE,AMLATE,,,,,75.05,,
AMLODIPINE MALEATE,AMLOC,,,,,75.05,,
AMLODIPINE MALEATE,AMLOCAL,,,,,75.05,,
AMLODIPINE BESYLATE,AMLODAC,,,,,75.05,,
AMLODIPINE BESYLATE,AMLODIPINE UNICORN,,,,,75.05,,
AMLODIPINE BESYLATE,AMLOSIN,,,,,75.05,,
AMLODIPINE BESYLATE,AMLOSYN,,,,,75.05,,
AMLODIPINE BESYLATE,AMTAS,,,,,75.05,,
AMLODIPINE MALEATE,APRATE,,,,,75.05,,
AMLODIPINE BESYLATE,AUSTELL-AMLODIPINE,,,,,75.05,,
AMLODIPINE BESYLATE,CALBLOC,,,,,75.05,,
AMLODIPINE BESYLATE,CIPLAVASC,,,,,75.05,,
AMLODIPINE MALEATE,GULF AMLODIPINE,,,,,75.05,,
AMLODIPINE MALEATE,KEYSAL,,,,,75.05,,
AMLODIPINE BESYLATE,LOMANOR,,,,,75.05,,
AMLODIPINE BESYLATE,NORCARD,,,,,75.05,,
AMLODIPINE BESYLATE,NORVASC,,,,,75.05,,
AMLODIPINE BESYLATE,PD AMLODIPINE,,,,,75.05,,
AMLODIPINE BESYLATE,PENDINE,,,,,75.05,,
AMLODIPINE BESYLATE/PERINDOPRIL*,COVERAM,,,,,208.92,,
AMLODIPINE BESYLATE/PERINDOPRIL*,REAPTAN,,,,,208.92,,
AMLODIPINE BESYLATE/PERINDOPRIL*,COVERAM,,,,,220.59,,
AMLODIPINE BESYLATE/PERINDOPRIL*,REAPTAN,,,,,220.59,,
AMLODIPINE BESYLATE/PERINDOPRIL*,COVERAM,,,,,211.23,,
AMLODIPINE BESYLATE/PERINDOPRIL*,REAPTAN,,,,,211.23,,
AMLODIPINE BESYLATE/PERINDOPRIL*,COVERAM,,,,,240.27,,
AMLODIPINE BESYLATE/PERINDOPRIL*,REAPTAN,,,,,240.27,,
AMMONIUM CHLORIDE/DIPHENHYDRAMINE*,BENYLIN CHILDREN'S,,,,,72.67,,
AMMONIUM CHLORIDE/DIPHENHYDRAMINE*,BENYLIN ORIGINAL,,,,,72.67,,
AMMONIUM CHLORIDE/DIPHENHYDRAMINE*,EXPECTALIN,,,,,72.67,,
AMOXYCILLIN /CLAVULANIC ACID,ADCO-AMOXYCLAV,,,,,34.59,,
AMOXYCILLIN /CLAVULANIC ACID,AMOCLAN,,,,,34.59,,
AMOXYCILLIN /CLAVULANIC ACID,APEX-CLAVUTIN,,,,,34.59,,
AMOXYCILLIN /CLAVULANIC ACID,AUGMAXCIL,,,,,34.59,,
AMOXYCILLIN /CLAVULANIC ACID,AUGMENTIN,,,,,34.59,,
AMOXYCILLIN /CLAVULANIC ACID,AURO-AMOXICLAV,,,,,34.59,,
AMOXYCILLIN /CLAVULANIC ACID,AUSTELL-CO-AMOXICLAV,,,,,34.59,,
AMOXYCILLIN /CLAVULANIC ACID,BETACLAV,,,,,34.59,,
AMOXYCILLIN /CLAVULANIC ACID,BINDOCLAV,,,,,34.59,,
AMOXYCILLIN /CLAVULANIC ACID,BIO-AMOKSIKLAV 375,,,,,34.59,,
AMOXYCILLIN /CLAVULANIC ACID,CLAMENTIN,,,,,34.59,,
AMOXYCILLIN /CLAVULANIC ACID,MYCLAV,,,,,34.59,,
AMOXYCILLIN /CLAVULANIC ACID,RANCLAV 375,,,,,34.59,,
AMOXYCILLIN /CLAVULANIC ACID,SANDOZ CO-AMOXYCLAV,,,,,34.59,,
AMOXYCILLIN /CLAVULANIC ACID,ADCO-AMOXYCLAV,,,,,54.88,,
AMOXYCILLIN /CLAVULANIC ACID,AMOCLAN FORTE,,,,,54.88,,
AMOXYCILLIN /CLAVULANIC ACID,AMONTIN (NAMIBIA ONLY),,,,,54.88,,
AMOXYCILLIN /CLAVULANIC ACID,APEX-CLAVUTIN,,,,,54.88,,
AMOXYCILLIN /CLAVULANIC ACID,AUGMAXCIL,,,,,54.88,,
AMOXYCILLIN /CLAVULANIC ACID,AURO-AMOXICLAV,,,,,54.88,,
AMOXYCILLIN /CLAVULANIC ACID,AUSTELL-CO-AMOXICLAV,,,,,54.88,,
AMOXYCILLIN /CLAVULANIC ACID,BETACLAV,,,,,54.88,,
AMOXYCILLIN /CLAVULANIC ACID,BINDOCLAV,,,,,54.88,,
AMOXYCILLIN /CLAVULANIC ACID,BIO-AMOKSIKLAV 625,,,,,54.88,,
AMOXYCILLIN /CLAVULANIC ACID,CURAM 625MG,,,,,54.88,,
AMOXYCILLIN /CLAVULANIC ACID,MYCLAV,,,,,54.88,,
AMOXYCILLIN /CLAVULANIC ACID,RANCLAV 625,,,,,54.88,,
AMOXYCILLIN /CLAVULANIC ACID,SANDOZ CO-AMOXICLAV,,,,,54.88,,
AMOXYCILLIN /CLAVULANIC ACID,SANDOZ CO-AMOXICLAV,,,,,54.88,,
AMOXYCILLIN /CLAVULANIC ACID,ADCO-AMOCLAV BD,,,,,91.04,,
AMOXYCILLIN /CLAVULANIC ACID,AMOCLAN BD,,,,,91.04,,
AMOXYCILLIN /CLAVULANIC ACID,AMONTIN (NAMIBIA ONLY),,,,,91.04,,
AMOXYCILLIN /CLAVULANIC ACID,AUGMENTIN 1000 BD,,,,,91.04,,
AMOXYCILLIN /CLAVULANIC ACID,AURO-AMOXICLAV,,,,,91.04,,
AMOXYCILLIN /CLAVULANIC ACID,BETACLAV,,,,,91.04,,
AMOXYCILLIN /CLAVULANIC ACID,BINDOCLAV,,,,,91.04,,
AMOXYCILLIN /CLAVULANIC ACID,BIO-AMOKSIKLAV,,,,,91.04,,
AMOXYCILLIN /CLAVULANIC ACID,CLAMENTIN,,,,,91.04,,
AMOXYCILLIN /CLAVULANIC ACID,CO-AMOXYCLAV BD,,,,,91.04,,
AMOXYCILLIN /CLAVULANIC ACID,CURAM,,,,,91.04,,
AMOXYCILLIN /CLAVULANIC ACID,FORCID SOLUTAB,,,,,91.04,,
AMOXYCILLIN /CLAVULANIC ACID,KLAVIMAXCIL,,,,,91.04,,
AMOXYCILLIN /CLAVULANIC ACID,RANCLAV,,,,,91.04,,
AMOXYCILLIN /CLAVULANIC ACID,SANDOZ CO AMOXYCLAV,,,,,91.04,,
AMOXYCILLIN /CLAVULANIC ACID,SANDOZ CO AMOXYCLAV DSP,,,,,91.04,,
AMOXYCILLIN /CLAVULANIC ACID,AMOCLAN S,,,,,33.74,,
AMOXYCILLIN /CLAVULANIC ACID,AUGMAXCIL S,,,,,33.74,,
AMOXYCILLIN /CLAVULANIC ACID,AUGMENTIN S,,,,,33.74,,
AMOXYCILLIN /CLAVULANIC ACID,AURO-AMOXICLAV,,,,,33.74,,
AMOXYCILLIN /CLAVULANIC ACID,BIO-AMOKSIKLAV S,,,,,33.74,,
AMOXYCILLIN /CLAVULANIC ACID,CLAMENTIN S,,,,,33.74,,
AMOXYCILLIN /CLAVULANIC ACID,RANCLAV,,,,,33.74,,
AMOXYCILLIN /CLAVULANIC ACID,SANDOZ CO-AMOXYCLAV,,,,,33.74,,
AMOXYCILLIN /CLAVULANIC ACID,AMOCLAN SF,,,,,63.9,,
AMOXYCILLIN /CLAVULANIC ACID,APEX-CLAVUTIN SF,,,,,63.9,,
AMOXYCILLIN /CLAVULANIC ACID,AUGMAXCIL SF,,,,,63.9,,
AMOXYCILLIN /CLAVULANIC ACID,AUGMENTIN SF,,,,,63.9,,
AMOXYCILLIN /CLAVULANIC ACID,BIO-AMOKSIKLAV SF,,,,,63.9,,
AMOXYCILLIN /CLAVULANIC ACID,CLAMENTIN SF,,,,,63.9,,
AMOXYCILLIN /CLAVULANIC ACID,RANCLAV FORTE,,,,,63.9,,
AMOXYCILLIN /CLAVULANIC ACID,SANDOZ CO-AMOXYCLAV SF,,,,,63.9,,
AMOXYCILLIN /CLAVULANIC ACID,AUGMENTIN BD SF,,,,,92.69,,
AMOXYCILLIN /CLAVULANIC ACID,AURO-AMOXICLAV,,,,,92.69,,
AMOXYCILLIN /CLAVULANIC ACID,AUSTELL CO-AMOXICLAV,,,,,92.69,,
AMOXYCILLIN /CLAVULANIC ACID,CURAM BD,,,,,92.69,,
AMOXYCILLIN /CLAVULANIC ACID,SANDOZ CO-AMOXYCLAV BD,,,,,92.69,,
AMOXYCILLIN /CLAVULANIC ACID,AUGMENTIN ES 600,,,,,149,,
AMOXYCILLIN /CLAVULANIC ACID,AUSTELL CO-AMOXICLAV ES,,,,,149,,
AMOXYCILLIN /CLAVULANIC ACID,CAMOX CO-AMOXICLAV ES 600,,,,,149,,
AMOXYCILLIN /CLAVULANIC ACID,CLAMENTRIN (NAMIBIA),,,,,149,,
AMOXYCILLIN /CLAVULANIC ACID,AUGMENTIN IV 0.6,,,,,89.85,,
AMOXYCILLIN /CLAVULANIC ACID,GULF AMOXY CO,,,,,89.85,,
AMOXYCILLIN /CLAVULANIC ACID,SANDOZ CO-AMOXYCLAV,,,,,89.85,,
AMOXYCILLIN TRIHYDRATE,ADCO-AMOXYCILLIN,,,,,7.88,,
AMOXYCILLIN TRIHYDRATE,ALLMOX,,,,,7.88,,
AMOXYCILLIN TRIHYDRATE,AMOXICAP,,,,,7.88,,
AMOXYCILLIN TRIHYDRATE,AMOXYCILLIN OETHMAAN,,,,,7.88,,
AMOXYCILLIN TRIHYDRATE,AMYN,,,,,7.88,,
AMOXYCILLIN TRIHYDRATE,AURO-AMOXYCILLIN,,,,,7.88,,
AMOXYCILLIN TRIHYDRATE,AUSTELL-AMOXYCILLIN,,,,,7.88,,
AMOXYCILLIN TRIHYDRATE,BETAMOX 250,,,,,7.88,,
AMOXYCILLIN TRIHYDRATE,INDO AMOXYCILLIN,,,,,7.88,,
AMOXYCILLIN TRIHYDRATE,MOXYMAX,,,,,7.88,,
AMOXYCILLIN TRIHYDRATE,MOXYPEN,,,,,7.88,,
AMOXYCILLIN TRIHYDRATE,MYMOX,,,,,7.88,,
AMOXYCILLIN TRIHYDRATE,PROMOXIL,,,,,7.88,,
AMOXYCILLIN TRIHYDRATE,YOMAX,,,,,7.88,,
AMOXYCILLIN TRIHYDRATE,ZALOXY,,,,,7.88,,
AMOXYCILLIN TRIHYDRATE,ZOXIL,,,,,7.88,,
AMOXYCILLIN TRIHYDRATE,ADCO-AMOXYCILLIN,,,,,13.33,,
AMOXYCILLIN TRIHYDRATE,ALLMOX,,,,,13.33,,
AMOXYCILLIN TRIHYDRATE,AMYN,,,,,13.33,,
AMOXYCILLIN TRIHYDRATE,AURO-AMOXYCILLIN,,,,,13.33,,
AMOXYCILLIN TRIHYDRATE,AUSTELL-AMOXYCILLIN,,,,,13.33,,
AMOXYCILLIN TRIHYDRATE,BETAMOX 500,,,,,13.33,,
AMOXYCILLIN TRIHYDRATE,MOXYMAX,,,,,13.33,,
AMOXYCILLIN TRIHYDRATE,MOXYPEN,,,,,13.33,,
AMOXYCILLIN TRIHYDRATE,MYMOX,,,,,13.33,,
AMOXYCILLIN TRIHYDRATE,PROMOXIL,,,,,13.33,,
AMOXYCILLIN TRIHYDRATE,RANMOXY (NAMIBIA ONLY),,,,,13.33,,
AMOXYCILLIN TRIHYDRATE,ULTRAMOX,,,,,13.33,,
AMOXYCILLIN TRIHYDRATE,YOMAX,,,,,13.33,,
AMOXYCILLIN TRIHYDRATE,ZALOXY,,,,,13.33,,
AMOXYCILLIN TRIHYDRATE,ZOXIL,,,,,13.33,,
AMOXYCILLIN TRIHYDRATE,ALLMOX,,,,,9.46,,
AMOXYCILLIN TRIHYDRATE,AMOXIL S,,,,,9.46,,
AMOXYCILLIN TRIHYDRATE,AMYN,,,,,9.46,,
AMOXYCILLIN TRIHYDRATE,BETAMOX S,,,,,9.46,,
AMOXYCILLIN TRIHYDRATE,MOXYMAX,,,,,9.46,,
AMOXYCILLIN TRIHYDRATE,MOXYPEN,,,,,9.46,,
AMOXYCILLIN TRIHYDRATE,PROMOXIL,,,,,9.46,,
AMOXYCILLIN TRIHYDRATE,SALTERMOX,,,,,9.46,,
AMOXYCILLIN TRIHYDRATE,ZALOXY,,,,,9.46,,
AMOXYCILLIN TRIHYDRATE,ZOXIL S,,,,,9.46,,
AMOXYCILLIN TRIHYDRATE,ADCO-AMOXYCILLIN,,,,,14.18,,
AMOXYCILLIN TRIHYDRATE,ALLMOX,,,,,14.18,,
AMOXYCILLIN TRIHYDRATE,AMOXICILLIN,,,,,14.18,,
AMOXYCILLIN TRIHYDRATE,AMOXICILLIN UNIMED,,,,,14.18,,
AMOXYCILLIN TRIHYDRATE,AMOXIL SF,,,,,14.18,,
AMOXYCILLIN TRIHYDRATE,AMYN SF,,,,,14.18,,
AMOXYCILLIN TRIHYDRATE,MORYMAX,,,,,14.18,,
AMOXYCILLIN TRIHYDRATE,MOXYPEN SF,,,,,14.18,,
AMOXYCILLIN TRIHYDRATE,PROMOXIL,,,,,14.18,,
AMOXYCILLIN TRIHYDRATE,ZALOXY,,,,,14.18,,
AMOXYCILLIN TRIHYDRATE,ZOXIL SF,,,,,14.18,,
AMOXYCILLIN/CLAVULANIC ACID,AUGMAXCIL,,,,,345.86,,
AMOXYCILLIN/CLAVULANIC ACID,AUGMENTIN IV,,,,,345.86,,
AMOXYCILLIN/CLAVULANIC ACID,CLAMENTIN IV,,,,,345.86,,
AMOXYCILLIN/CLAVULANIC ACID,GULF AMOXY CO,,,,,345.86,,
AMOXYCILLIN/CLAVULANIC ACID,SANDOZ CO-AMOCLAV,,,,,345.86,,
AMOXYCILLIN/CLAVULANIC ACID,SANDOZ CO-AMOCLAV 1.2GM/20ML,,,,,345.86,,
AMPHOTERICIN B,AMBISOME,,,,,284.96,,
AMPHOTERICIN B,AMPHOTRET (NAMIBIA),,,,,284.96,,
AMPHOTERICIN B,AMPHO-B (NAMIBIA),,,,,284.96,,
AMPHOTERICIN B,FUNGIZONE,,,,,284.96,,
AMPICILLIN TRIHYDRATE,AMPICILLIN,,,,,11.39,,
AMPICILLIN TRIHYDRATE,AURO AMPICILLIN,,,,,11.39,,
ANAGRELIDE HCL,AGRYLIN,,,,,4 706.75,,
ANAGRELIDE HCL,THROMBOREDUCTIN,,,,,4 706.75,,
ANASTROZOLE,ACCORD ANASTROZOLE,,,,,274.13,,
ANASTROZOLE,ANABREZ,,,,,274.13,,
ANASTROZOLE,ANASTROZOLE SANDOZ,,,,,274.13,,
ANASTROZOLE,ANATERO (NAMIBIA),,,,,274.13,,
ANASTROZOLE,ARIMIDEX,,,,,274.13,,
ANASTROZOLE,CASTRA,,,,,274.13,,
ANASTROZOLE,EVERDEX,,,,,274.13,,
ANASTROZOLE,MEDIVISION ANASTROZOLE,,,,,274.13,,
ANASTROZOLE,MYLAN ANASTROZOLE,,,,,274.13,,
ANASTROZOLE,STRADEXA,,,,,274.13,,
ANASTROZOLE,TEVA ANASTROZOLE,,,,,274.13,,
ANIDULAFUNGIN*,CARIXAN,,,,,2 230.29,,
ANIDULAFUNGIN*,ERAXIS,,,,,2 230.29,,
ANTAZOLINE/TETRYZOLINE,GEMINI,,,,,38.38,,
ANTAZOLINE/TETRYZOLINE,OCULERGE,,,,,38.38,,
ANTAZOLINE/TETRYZOLINE,SPERSALLERG,,,,,38.38,,
APREPITANT*,APREPITANT,,,,,1 171.69,,
APREPITANT*,EMEND,,,,,1 171.69,,
APREPITANT*,APREPITANT,,,,,1 171.69,,
APREPITANT,EMEND,,,,,1 171.69,,
APREPITANT/APREPITANT,APREPITANT,,,,,889.79,,
APREPITANT/APREPITANT,EMEND COMBI PACK,,,,,889.79,,
ARIPIPRAZOLE*,ABILIFY,,,,,782.25,,
ARIPIPRAZOLE*,ABIPIP,,,,,782.25,,
ARIPIPRAZOLE*,APRIPENT,,,,,782.25,,
ARIPIPRAZOLE*,APRIZON,,,,,782.25,,
ARIPIPRAZOLE*,ARIZOFY,,,,,782.25,,
ARIPIPRAZOLE*,PRIZAL,,,,,782.25,,
ARIPIPRAZOLE*,ABILIFY,,,,,1 057.56,,
ARIPIPRAZOLE*,ABIPIP,,,,,1 057.56,,
ARIPIPRAZOLE*,APRIZON,,,,,1 057.56,,
ARIPIPRAZOLE*,ARIPENT,,,,,1 057.56,,
ARIPIPRAZOLE*,ARIZOFY,,,,,1 057.56,,
ARIPIPRAZOLE*,PRIZAL,,,,,1 057.56,,
ARIPIPRAZOLE*,ABILIFY,,,,,1 365.06,,
ARIPIPRAZOLE*,ABIPIP,,,,,1 365.06,,
ARIPIPRAZOLE*,APRIZON,,,,,1 365.06,,
ARIPIPRAZOLE*,ARIPENT,,,,,1 365.06,,
ARIPIPRAZOLE*,ARIZOFY,,,,,1 365.06,,
ARIPIPRAZOLE*,PRIZAL,,,,,1 365.06,,
ASPIRIN,BAYER ASPIRIN CARDIO,,,,,35.19,,
ASPIRIN,DISPRIN MELTS,,,,,35.19,,
ASPIRIN,DISPRIN REGULAR,,,,,35.19,,
ASPIRIN,DR DU TOITS PAIN EXPELLER,,,,,35.19,,
ASPIRIN,GULF ASPIRIN,,,,,35.19,,
